temps,croissance_A2,croissance_A4_2
0,0.1,0.1
1,0.18,0.378
2,0.2952,0.9874872
3,0.41611392,0.05189617
4,0.48592625,0.20665242
5,0.49960386,0.68857823
6,0.49999969,0.90064065
7,0.5,0.37584569
8,0.5,0.98525997
9,0.5,0.0609956
10,0.5,0.24055557
11,0.5,0.76729207
12,0.5,0.74993079
13,0.5,0.78764532
14,0.5,0.70249271
15,0.5,0.87778615
16,0.5,0.45056602
17,0.5,1.03973638
18,0.5,-0.17352451
19,0.5,-0.85526812
20,0.5,-6.66435704
21,0.5,-214.52764955
22,0.5,-194193.88829819
23,0.5,-158388133874.28442
24,0.5,-1.0536456399981387e+23
25,0.5,-4.662710365685767e+46
26,0.5,-9.131164540794869e+93
27,0.5,-3.501882966584922e+188
28,0.5,-inf
29,0.5,-inf
30,0.5,-inf
31,0.5,-inf
32,0.5,-inf
33,0.5,-inf
34,0.5,-inf
35,0.5,-inf
36,0.5,-inf
37,0.5,-inf
38,0.5,-inf
39,0.5,-inf
40,0.5,-inf
41,0.5,-inf
42,0.5,-inf
43,0.5,-inf
44,0.5,-inf
45,0.5,-inf
46,0.5,-inf
47,0.5,-inf
48,0.5,-inf
49,0.5,-inf
50,0.5,-inf
51,0.5,-inf
52,0.5,-inf
53,0.5,-inf
54,0.5,-inf
55,0.5,-inf
56,0.5,-inf
57,0.5,-inf
58,0.5,-inf
59,0.5,-inf
60,0.5,-inf
61,0.5,-inf
62,0.5,-inf
63,0.5,-inf
64,0.5,-inf
65,0.5,-inf
66,0.5,-inf
67,0.5,-inf
68,0.5,-inf
69,0.5,-inf
70,0.5,-inf
71,0.5,-inf
72,0.5,-inf
73,0.5,-inf
74,0.5,-inf
75,0.5,-inf
76,0.5,-inf
77,0.5,-inf
78,0.5,-inf
79,0.5,-inf
80,0.5,-inf
81,0.5,-inf
82,0.5,-inf
83,0.5,-inf
84,0.5,-inf
85,0.5,-inf
86,0.5,-inf
87,0.5,-inf
88,0.5,-inf
89,0.5,-inf
90,0.5,-inf
91,0.5,-inf
92,0.5,-inf
93,0.5,-inf
94,0.5,-inf
95,0.5,-inf
96,0.5,-inf
97,0.5,-inf
98,0.5,-inf
99,0.5,-inf
100,0.5,-inf
101,0.5,-inf
102,0.5,-inf
103,0.5,-inf
104,0.5,-inf
105,0.5,-inf
106,0.5,-inf
107,0.5,-inf
108,0.5,-inf
109,0.5,-inf
110,0.5,-inf
111,0.5,-inf
112,0.5,-inf
113,0.5,-inf
114,0.5,-inf
115,0.5,-inf
116,0.5,-inf
117,0.5,-inf
118,0.5,-inf
119,0.5,-inf
120,0.5,-inf
121,0.5,-inf
122,0.5,-inf
123,0.5,-inf
124,0.5,-inf
125,0.5,-inf
126,0.5,-inf
127,0.5,-inf
128,0.5,-inf
129,0.5,-inf
130,0.5,-inf
131,0.5,-inf
132,0.5,-inf
133,0.5,-inf
134,0.5,-inf
135,0.5,-inf
136,0.5,-inf
137,0.5,-inf
138,0.5,-inf
139,0.5,-inf
140,0.5,-inf
141,0.5,-inf
142,0.5,-inf
143,0.5,-inf
144,0.5,-inf
145,0.5,-inf
146,0.5,-inf
147,0.5,-inf
148,0.5,-inf
149,0.5,-inf
150,0.5,-inf
151,0.5,-inf
152,0.5,-inf
153,0.5,-inf
154,0.5,-inf
155,0.5,-inf
156,0.5,-inf
157,0.5,-inf
158,0.5,-inf
159,0.5,-inf
160,0.5,-inf
161,0.5,-inf
162,0.5,-inf
163,0.5,-inf
164,0.5,-inf
165,0.5,-inf
166,0.5,-inf
167,0.5,-inf
168,0.5,-inf
169,0.5,-inf
170,0.5,-inf
171,0.5,-inf
172,0.5,-inf
173,0.5,-inf
174,0.5,-inf
175,0.5,-inf
176,0.5,-inf
177,0.5,-inf
178,0.5,-inf
179,0.5,-inf
180,0.5,-inf
181,0.5,-inf
182,0.5,-inf
183,0.5,-inf
184,0.5,-inf
185,0.5,-inf
186,0.5,-inf
187,0.5,-inf
188,0.5,-inf
189,0.5,-inf
190,0.5,-inf
191,0.5,-inf
192,0.5,-inf
193,0.5,-inf
194,0.5,-inf
195,0.5,-inf
196,0.5,-inf
197,0.5,-inf
198,0.5,-inf
199,0.5,-inf
200,0.5,-inf
201,0.5,-inf
202,0.5,-inf
203,0.5,-inf
204,0.5,-inf
205,0.5,-inf
206,0.5,-inf
207,0.5,-inf
208,0.5,-inf
209,0.5,-inf
210,0.5,-inf
211,0.5,-inf
212,0.5,-inf
213,0.5,-inf
214,0.5,-inf
215,0.5,-inf
216,0.5,-inf
217,0.5,-inf
218,0.5,-inf
219,0.5,-inf
220,0.5,-inf
221,0.5,-inf
222,0.5,-inf
223,0.5,-inf
224,0.5,-inf
225,0.5,-inf
226,0.5,-inf
227,0.5,-inf
228,0.5,-inf
229,0.5,-inf
230,0.5,-inf
231,0.5,-inf
232,0.5,-inf
233,0.5,-inf
234,0.5,-inf
235,0.5,-inf
236,0.5,-inf
237,0.5,-inf
238,0.5,-inf
239,0.5,-inf
240,0.5,-inf
241,0.5,-inf
242,0.5,-inf
243,0.5,-inf
244,0.5,-inf
245,0.5,-inf
246,0.5,-inf
247,0.5,-inf
248,0.5,-inf
249,0.5,-inf
250,0.5,-inf
251,0.5,-inf
252,0.5,-inf
253,0.5,-inf
254,0.5,-inf
255,0.5,-inf
256,0.5,-inf
257,0.5,-inf
258,0.5,-inf
259,0.5,-inf
260,0.5,-inf
261,0.5,-inf
262,0.5,-inf
263,0.5,-inf
264,0.5,-inf
265,0.5,-inf
266,0.5,-inf
267,0.5,-inf
268,0.5,-inf
269,0.5,-inf
270,0.5,-inf
271,0.5,-inf
272,0.5,-inf
273,0.5,-inf
274,0.5,-inf
275,0.5,-inf
276,0.5,-inf
277,0.5,-inf
278,0.5,-inf
279,0.5,-inf
280,0.5,-inf
281,0.5,-inf
282,0.5,-inf
283,0.5,-inf
284,0.5,-inf
285,0.5,-inf
286,0.5,-inf
287,0.5,-inf
288,0.5,-inf
289,0.5,-inf
290,0.5,-inf
291,0.5,-inf
292,0.5,-inf
293,0.5,-inf
294,0.5,-inf
295,0.5,-inf
296,0.5,-inf
297,0.5,-inf
298,0.5,-inf
299,0.5,-inf
300,0.5,-inf
301,0.5,-inf
302,0.5,-inf
303,0.5,-inf
304,0.5,-inf
305,0.5,-inf
306,0.5,-inf
307,0.5,-inf
308,0.5,-inf
309,0.5,-inf
310,0.5,-inf
311,0.5,-inf
312,0.5,-inf
313,0.5,-inf
314,0.5,-inf
315,0.5,-inf
316,0.5,-inf
317,0.5,-inf
318,0.5,-inf
319,0.5,-inf
320,0.5,-inf
321,0.5,-inf
322,0.5,-inf
323,0.5,-inf
324,0.5,-inf
325,0.5,-inf
326,0.5,-inf
327,0.5,-inf
328,0.5,-inf
329,0.5,-inf
330,0.5,-inf
331,0.5,-inf
332,0.5,-inf
333,0.5,-inf
334,0.5,-inf
335,0.5,-inf
336,0.5,-inf
337,0.5,-inf
338,0.5,-inf
339,0.5,-inf
340,0.5,-inf
341,0.5,-inf
342,0.5,-inf
343,0.5,-inf
344,0.5,-inf
345,0.5,-inf
346,0.5,-inf
347,0.5,-inf
348,0.5,-inf
349,0.5,-inf
350,0.5,-inf
351,0.5,-inf
352,0.5,-inf
353,0.5,-inf
354,0.5,-inf
355,0.5,-inf
356,0.5,-inf
357,0.5,-inf
358,0.5,-inf
359,0.5,-inf
360,0.5,-inf
361,0.5,-inf
362,0.5,-inf
363,0.5,-inf
364,0.5,-inf
365,0.5,-inf
366,0.5,-inf
367,0.5,-inf
368,0.5,-inf
369,0.5,-inf
370,0.5,-inf
371,0.5,-inf
372,0.5,-inf
373,0.5,-inf
374,0.5,-inf
375,0.5,-inf
376,0.5,-inf
377,0.5,-inf
378,0.5,-inf
379,0.5,-inf
380,0.5,-inf
381,0.5,-inf
382,0.5,-inf
383,0.5,-inf
384,0.5,-inf
385,0.5,-inf
386,0.5,-inf
387,0.5,-inf
388,0.5,-inf
389,0.5,-inf
390,0.5,-inf
391,0.5,-inf
392,0.5,-inf
393,0.5,-inf
394,0.5,-inf
395,0.5,-inf
396,0.5,-inf
397,0.5,-inf
398,0.5,-inf
399,0.5,-inf
400,0.5,-inf
401,0.5,-inf
402,0.5,-inf
403,0.5,-inf
404,0.5,-inf
405,0.5,-inf
406,0.5,-inf
407,0.5,-inf
408,0.5,-inf
409,0.5,-inf
410,0.5,-inf
411,0.5,-inf
412,0.5,-inf
413,0.5,-inf
414,0.5,-inf
415,0.5,-inf
416,0.5,-inf
417,0.5,-inf
418,0.5,-inf
419,0.5,-inf
420,0.5,-inf
421,0.5,-inf
422,0.5,-inf
423,0.5,-inf
424,0.5,-inf
425,0.5,-inf
426,0.5,-inf
427,0.5,-inf
428,0.5,-inf
429,0.5,-inf
430,0.5,-inf
431,0.5,-inf
432,0.5,-inf
433,0.5,-inf
434,0.5,-inf
435,0.5,-inf
436,0.5,-inf
437,0.5,-inf
438,0.5,-inf
439,0.5,-inf
440,0.5,-inf
441,0.5,-inf
442,0.5,-inf
443,0.5,-inf
444,0.5,-inf
445,0.5,-inf
446,0.5,-inf
447,0.5,-inf
448,0.5,-inf
449,0.5,-inf
450,0.5,-inf
451,0.5,-inf
452,0.5,-inf
453,0.5,-inf
454,0.5,-inf
455,0.5,-inf
456,0.5,-inf
457,0.5,-inf
458,0.5,-inf
459,0.5,-inf
460,0.5,-inf
461,0.5,-inf
462,0.5,-inf
463,0.5,-inf
464,0.5,-inf
465,0.5,-inf
466,0.5,-inf
467,0.5,-inf
468,0.5,-inf
469,0.5,-inf
470,0.5,-inf
471,0.5,-inf
472,0.5,-inf
473,0.5,-inf
474,0.5,-inf
475,0.5,-inf
476,0.5,-inf
477,0.5,-inf
478,0.5,-inf
479,0.5,-inf
480,0.5,-inf
481,0.5,-inf
482,0.5,-inf
483,0.5,-inf
484,0.5,-inf
485,0.5,-inf
486,0.5,-inf
487,0.5,-inf
488,0.5,-inf
489,0.5,-inf
490,0.5,-inf
491,0.5,-inf
492,0.5,-inf
493,0.5,-inf
494,0.5,-inf
495,0.5,-inf
496,0.5,-inf
497,0.5,-inf
498,0.5,-inf
499,0.5,-inf
500,0.5,-inf
